	STAGE	CLUSTER	MATCH N-1	ASSIGNED CELL TYPE/STATE	ENRICHED MARKERS
63	14 hpf	18	12h-11	hindbrain rhombomere 6	mafba, cyp26c1.1, crygmx, hoxa3a, hoxb3a, lbx1b, cryba1l1
64	14 hpf	19	12h-33	epidermis	cldni, pfn1, thy1, tagln2, spaca4l, cyp2k16, tbx2a, gata2a, hpgd
65	14 hpf	20	12h-27	hindbrain rhombomere 3	egr2b, cyp26b1, epha4a, hoxb2a, her4.2, her3, hoxa2b, zwi, gabra5, gbx1, myo1cb, pou3f1, pax7b, cspg5a
66	14 hpf	21	12h-14	heart primordium	tdgf1, hand2, ttn.2, gdf3, gata5, mef2ca, gata6, nkx2.5, tmem88a
67	14 hpf	23	12h-11	hindbrain rhombomere 5	hoxa2b, hoxa3a, hoxb3a, ackr3b, egr2b, mafba
68	14 hpf	24	12h-1	optic vesicle (dorsal)	foxg1a, rx1, rx3, six3b, aldh1a3, hmx4, lhx2b
69	14 hpf	25	12h-40	mesoderm (head mesenchyme)	ntd5, cxcl12b, col11a1a, lsp1, plpp1a, ripply1, tgfbi, fstl1a, pitx3, twist1a, nkx3-1, foxc1a, foxc1b, foxf2a
70	14 hpf	26	12h-16	mesoderm	thbs3b, meox1, prrx1a, cthrc1a, foxc1a, cxcl12b, reck, foxc1b, efb1a
71	14 hpf	27	12h-10	placode (lens)	tp63, pak2a, fermt1, pitx2, arl3l1, ptgs2a, pitx3, vgll4l, p2rx3a, dlx3b, krt97, epcam, snai2, tagln2, fmo5, pax6b, foxe3
72	14 hpf	28	12h-21	placode (epibranchial)	foxi1, myl10, six1b, eya1, cldn7b, pax8, f11r.1, gbx2
73	14 hpf	29	12h-18	telencephalon II	fgf17, zic4, cdh6, zic1, foxg1a, noto, dlx3b, rspo3, emx3, fgf8a, lmo1, lhx2b, hesx1, dlx4b
74	14 hpf	30	NA	somite (mesoderm)	msgn1, cdx4, apoc1, hes6, her7, tbx16, hoxb7a, ta, snai1a, hoxc3a, tbx6l, hox10a, vox, hoxd9a, vent
75	14 hpf	31	12h-36	rostral blood island (myeloid)	lmo2, etv2, tal1, sox7, dusp5, spi1b, cebpa, fli1a, cxcr4a
76	14 hpf	32	12h-33/34	epidermis	pfn1, apoeb, apoc1, cfl1l, tagln2, cldni, cdx4, thy1, myh9a, spaca4l, fermt1, nme2a
77	14 hpf	33	12h-15	prechordal plate/polster	ctslb, he1a, ctslb.1, fkbp11, he1b, pitx2, mcfd2
78	14 hpf	34	12h-29	placode (adenohypophyseal); neurons	sp8a, fezf1, fgf24, dlx4b, neurod1, insm1b, uncx, arl3l1, six1b, cdr2l, dlx3b, fgf17, emx3, hesx1, elavl3
79	14 hpf	35	12h-30	pharyngeal endoderm	cd9b, col2a1a, mcama, prdx5, myl10, epcam, f11r.1, pltp, irx7, nkx2.7, foxa, foxa1, foxa2, foxa3
80	14 hpf	36	12h-39	floor plate	aplnr2, foxa2, shha, shhb, lgals2a, foxj1a, daw1, lmx1bb
81	14 hpf	37	12h-35	adaxial cell	myl10, vwde, meox1, fn1bb, efemp2a, ttn.2, ttn.1, tnni2b.1, tgfbi, rbp7b, myod1, myog
82	14 hpf	38	12h-22	placode (otic)	cldna, stc2a, dlx3b, eya1, agr2, six1b, oc90, sox10, f11r.1, pax2a, foxj1a, gbx2
83	14 hpf	39	12h-45	epidermal ionocyte	foxi3a, foxi3b, ndrg3a, cldnh, gcm2, sstr5
84	14 hpf	40	12h-42	periderm	anxa1c, agr1, anxa1bb, icn2, ponzr5, uox, capn9
85	14 hpf	41	12h-41	neural crest (pre-mig/migratory)	ednrab, fam212aa, twist1b, plekhg5a, sox10, egr2b, foxd3, zwi, tfap2a, hnf1bb, mafba, egr2b
86	16 hpf	0	14h-1	optic vesicle (dorsal)	rx1, vsx2, rx2, hmx4, tbx2b, hmx1, pax6b
87	16 hpf	2	14h-28	placode (epibranchial)	foxi1, myl10, six1b, eya1, cldn7b, pax8, f11r.1, gbx2
88	16 hpf	3	14h-15	ventral diencephalon	nkx2.4b, nkx2.4a, sst1.2, nkx2.1, rx3, shha, nkx2.2b, fezf2, fzd8b, six6b, sox1b, olig2, nkx2.2a, nkx2.9, prdx1
89	16 hpf	4	14h-20	hindbrain (floor plate/boundary - r3)	cyp26b1, dbx1b, mpz, egfl6.1, dbx1a, sox21a, hoxa2b, cspg5a, foxb1a, gbx1
90	16 hpf	5	14h-6	dorsal diencephalon	lhx5, fezf2, olig2, pax6a, olig3, nr2e1, fezf1, stra6, gsx2, foxd1
91	16 hpf	6	14h-8/NA	neural crest	ednrab, dlx2a, sox10, twist1a, mef2ca, fam212aa, pmp22a, tfap2a, twist1b, pdgfra
92	16 hpf	7	14h-3	optic vesicle (ventral)	foxd1, cx43, rx1, rx2, vsx2, cyp27c1
93	16 hpf	8	14h-7	hindbrain (floor plate/boundary - r7)	crabp2a, hoxa3a, hoxd4a, wnt11r, cygb1, gfap, hoxb3a, hoxc3a
94	16 hpf	9	14h-2	midbrain neural rod	pax7a, ackr3a, eng2b, dmbx1a, mab21l2, otx2, wnt3, pou3f3a, eng2a, pax7b
95	16 hpf	10	14h-12	telencephalon	emx3, foxg1a, lmo1, npy, fezf2, rspo3, dlx3b, gsx2
96	16 hpf	11	14h-10	mid-hind boundary/ant hindbrain	eng1b, pax5, eng2a, eng2b, fgf8a, pax8, pax2a, gbx2
97	16 hpf	12	14h-11	optic stalk (ventral diencephalon)	vax1, sox1b, fezf1, six3b, pax2a, nrxn1a, six3a, nog2
98	16 hpf	13	14h-7	hindbrain rhombomere 7	hoxd4a, hoxc3a, wnt11r, bicd1a, olig3, raraa, hoxa3a, crap2a, tshz1, olig4, pax3a
99	16 hpf	14	NA	optic vesicle/optic stalk	aldh1a3, rx1, stra6, vax1, cyp27c1, six3b, pax6b, pax2a
100	16 hpf	15	14h-19	epidermis	pfn1, cldni, tagln2, thy1, myh9a, spaca4l, cotl1, ecrg4b, nkx2.7, nkx2.3,
101	16 hpf	16	14h-38	placode (otic)	cldna, oc90, agr2, sox10, otomp, bricd5
102	16 hpf	17	14h-16	ventral midbrain 	ntn1a, phox2bb, nkx2.9, nkx2.2b, foxa, nkx6.2, pou3f1, sulf2b, nkx2.2a, nkx6.1, ntn1b, foxa2, foxa1
103	16 hpf	18	14h-6	dorsal diencephalon II	barhl2, dbx1a, pax6a, tcf7l2, foxb1a, barhl1a, lmo3, rbp5, otx1b, fgfr3, helt, sox19a, id1.1, her3
104	16 hpf	19	14h-18	hindbrain rhombomere 6	cyp26c1.1, mafba, cryba1l1, cryba4, crygn2, lim2.1, hoxb3a, prdx6, cx23, hoxa3a, cscl12a, prox2, cryba2b
105	16 hpf	20	14h-9	hindbrain (ant. dorsal, upper rhombic lip)	zic2b, mdkb, casz1, pax3a, msx1b, zic1, fzd10, msx3, olig3, zic5
106	16 hpf	21	14h-35	pharyngeal endoderm	pltp, pax1a, pax1b, myl10, cxcl12b, fgfrl1b, foxa2, krt18, cd9b, mcama, cldnb, foxa1, foxi1, foxa
107	16 hpf	22	14h-26	mesoderm	angptl7, cthrc1a, colec12, reck, thbs3b, prrx1a, foxc1b, tbx15, foxc1a, twist1b, meox1
108	16 hpf	23	14h-13	hindbrain rhombomere 2	gsx1, lbx1b, phox2bb, egfl6.1, pax7b, pax3a, pax7a, cyp26b1, hoxa2b, her15.1, her4.1, her2
109	16 hpf	24	14h-17	neurons	gadd45gb.1, dlb, elavl3, her13, ebf2, srrm4, vim, neurod4, dla, draxin, neurog1, fstl1a
110	16 hpf	25	NA	cycling progenitors	id1.1, cdca7a, mcm5, mcm2, mcm3
111	16 hpf	26	14h-29	telencephalon II	plcxd3, zic4, lmo1, foxg1a, sox1b, zic1, gsx2, fezf2, noto, six3a, npy, emx3, she, fgf8a
112	16 hpf	27	14h-14	midbrain	eng2b, eng2a, her5, her11, cnpy1, pax5, ackr3a, wnt8b, eng1b, lmx1bb, pax8, pax2a, pax7a, otx2, otx1a, otx1b
113	16 hpf	28	14h-41	neural crest	ednrab, pmp22a, dlx2a, tfap2a, mafba, sox10, hoxa3a, atf3, twist1b, hoxb3a, crestin, hoxa2b
114	16 hpf	29	NA	neural crest (ectomesenchyme)	fam212aa (inka1a), ednrab, sdhda, twist1a, pdgfra, pmp22a, nrp2a, tuba8l3, foxc1a, tnc, tfap2a, sox10, fli1a
115	16 hpf	30	NA	lens differentiation	hmx4, foxe3, vcana, prox1a, hmx1, ampd3b, bmp5, etv1, sema3a, aplnra
116	16 hpf	31	14h-25	mesoderm (head mesenchyme)	tmem88a, fibina, ntd5, ndnfl, prrx1a, foxc1a, tcf21, pitx3, foxc1b, fmoda, tgfbi, foxf2a, foxd2
117	16 hpf	32	NA	epidermis	cldni, krt97, pfn1, cxcl14, pak2a, tfap2c, ptgs2a, sdpra, kera, dcn
118	16 hpf	33	14h-33	prechordal plate/polster	he1a, ctslb, he1b, fkbp11, cldnh, pitx2, fxyd1, cnpy1, klf17, mgp
119	16 hpf	34	14h-23	hindbrain rhombomere 5	egr2b, mafba, cryba2b, zic2b, hoxa3a, timp2b, olig3, msx3, sema3fb, hoxa2b, hoxb2a, hoxb3a, 
120	16 hpf	35	14h-9	hindbrain (ant. dorsal, upper rhombic lip)	msx1b, zic2b, atoh1a, msx3, olig3, bmp5, zic1
121	16 hpf	36	NA	pectoral fin field	cd151, aldh1a2, pcolcea, rbpms2b, tdgf1, gata5, kcnip1b, gdf3, oaz2b, jam2b, hand2
122	16 hpf	37	14h-21	heart primordium	tnnt2a, ttn.2, tnni1b, myl7, vmhc, smtnl1, cd151, gdf3, hand2, nkx2.5, myocd, gata5
123	16 hpf	38	14h-34	placode (adenohypophyseal)	fgf24, ptgs2a, sp8a, dlx5a, dlx4b, dlx3b, fezf1, six1b
124	16 hpf	39	14h-40	periderm	krt17, anxa1c, lye, icn2, agr1, anxa1b, eppk1, cst14b.1, s100a10b, cldne, capn9
125	16 hpf	40	14h-27	placode (lens)	arl3l1, pitx2, pitx3, fam69c, cldni, krt96, tp63, nme2a, col1a2, nid2a, ecrg4b,
126	16 hpf	41	14h-20	hindbrain rhombomere 3	egr2b, timp2b, sema3fb, hoxa2b, zic2b, msx1b
127	16 hpf	42	NA	blood precursors	blf, spi1b, mmp13a, cebpb, ikzf1, cebpa, fam212a, myb, ncf1
128	16 hpf	43	14h-23	hindbrain (floor plate/boundary - r5)	egr2b, mafba, crygn2, cryba2b, hoxa3a, mpz, hoxa2b, otpb
129	16 hpf	44	14h-31	rostral blood island (myeloid)	lmo2, etv2, dusp5, sox7, clec14a, tal1, she, fli1a
130	16 hpf	45	14h-8	neural crest	tfec, cax1, pax3a, slc1a3a, id2a, sox10, ednrab, fam212aa, slc15a2, prex2
131	16 hpf	46	14h-37	adaxial cell	actc1b, myl10, vwde, tnni2b.1, ttn.1, ttn.2, myog, meox1
132	16 hpf	47	14h-17	neurons	stmn1b, sncb, tmsb, mllt11, elavl4, gng3, gap43, stmn2a, stmn2b, snap25a, fez1, csdc2a
133	16 hpf	48	NA	placode (olfactory)	neurod1, neurod4, insm1b, uncx, lhx2a, gmnc, cldnh, ebf3a, sp8a, srrm4
134	16 hpf	49	14h-36	floor plate	lgals2a, shha, spon1b, col9a1b, col9a2, shhb, tbata, enkur, foxa2, foxj1a
135	16 hpf	50	NA	pharyngeal erythrocyte lineage	hbae3, pdx1, hbbe1.2, cldnc, hbbe1.1, aqp12, slc13a2, fgfrl1b, gata6, foxa2
136	16 hpf	51	14h-17	neurons (ganglion)	neurod1, scrt2, isl2b, tlx3b, prkg1a, neurod4, insm1, dlb, srrm4
137	16 hpf	52	14h-39	epidermal ionocyte	mat2al, foxi3a, foxi3b, atp1b1b, agrp, gcm2, dmrt2a, 
138	16 hpf	53	14h-31	rostral blood island (myeloid)	etv2, sox7, tal1, lmo2, grapa, esm1, snai1a, plk2b, fli1b
139	16 hpf	54	NA	notochord	loxl5b, col9a1b, ta, slc38a8b, col8a1a, sncga, vgll2b
140	18 hpf	0	16h-0	optic vesicle (dorsal)	rx1, vsx2, hmx4, tbx2b, hmx1, pax6b, rx2, foxg1b
141	18 hpf	2	16h-9	midbrain neural rod	eng2b, pax7a, mab21l2, pax7b, dmbx1a, ackr3a, pax3a, eng2a, otx2, otx1b
142	18 hpf	3	16h-7	optic vesicle (ventral)	foxd1, rx1, epha3, cx43, rx2, fcho2, vsx2
143	18 hpf	4	16h-27	midbrain	eng2b, eng2a, eng1b, pax2a, her5, pax5, pax8, her11, fgf8a
144	18 hpf	5	16h-4	hindbrain (floor plate/boundary - r3)	cyp26b1, hoxa2b, egfl6.1, dbx1b, mpz, dbx1a, gbx1, her3, foxb1a, egr2b
145	18 hpf	6	16h-3	ventral diencephalon	nkx2.4b, nkx2.4a, rx3, shha, sst1.2, nkx2.1, fezf2, prdx1, dbx1a
146	18 hpf	7	16h-20	hindbrain (ant. dorsal, rhombic lip)	casz1, mdkb, zic2b, pax3a, msx1b, msx3, zic1, zic2a, zic3, olig3, irx1b
147	18 hpf	8	16h-23	hindbrain rhombomere 2/3	gsx1, lbx1b, pax7b, hoxa2b, pax3a, phox2bb, egr2b, pax7a, mpz, hoxb2a
148	18 hpf	9	16h-13	hinbrain rhombomere 7	hoxd4a, hoxc3a, wnt11r, cygb1, hoxa3a, raraa, bicd1a, rxrga, olig3, olig4, hoxb3a, pax3a, msx3
149	18 hpf	10	NA	diencephalon	barhl2, rspo2, shox2, wnt4a, wnt8b, tcf7l2, barhl1a, rbp5, otx2, otx1b, otx1a
150	18 hpf	11	16h-24	comitted progenitors	gadd45gb.1, dlb, srrm4, ebf2, neurod4, her13, fstl1a, elavl3, vim, dld
151	18 hpf	12	NA	progenitors (cycling)	id1.1, sox3, her4.2, pou3f1, ntn1a, mcm4, sox19a, her4.1, gfap, mcm2
152	18 hpf	13	16h-10	telencephalon I	emx3, foxg1a, znf296, emx2, fezf1, fezf2, lmo1, lhx9, lhx2b, her15.1, her15.2
153	18 hpf	14	NA	dienc-midbrain boundary	dbx1a, dx1b, her3, id1.1, tcf7l2, helt, pou3f3b, mab21l2, irx1a, sox19a, dmbx1a
154	18 hpf	15	NA	pharyngeal arch (posterior)	hoxd4a, hoxb5b, hoxa3a, crabp2a, rxrga, hoxb3a, hoxb5a, wnt11r, hoxc3a, sp8a, hoxb1b, hoxc1a
155	18 hpf	16	16h-12	optic stalk (ventral diencephalon)	sox1b, vax1, eno4, fezf1, sox1b, pax2a, six6a, six3b
156	18 hpf	17	16h-35	hindbrain (ant. dorsal, rhombic lip)	atoh1a, atoh8, msx3, bmp5, olig3, cdh6, casz1, olig4, msx1b, zic2b, zic4
157	18 hpf	18	16h-26	telencephalon II	foxg1a, lmo1, plcxd3, npy, gsx2, sox1b, fezf2, zic4, zic1, emx3, she, nog2, noto, lhx2b
158	18 hpf	19	NA/16h-32	epidermis	cxcl14, krt97, tagln2, s100a10b, myh9a, lgals1l1, thy1, tfap2c, col28a2a, col4a3, col4a4, aqp3a, myof, dlx4a
159	18 hpf	20	16h-2	placode (epibranchial)	ripply3, vgll4l, tp63, apoeb, cfl1l, foxi1, epcam, six1b, pfn1, cldnb, cldni, nkx2.7
160	18 hpf	21	16h-17	ventral midbrain	foxa, foxa1, nkx6.2, nkx2.9, foxa2, nkx2.2b, phox2a, ntn1a, helt
161	18 hpf	22	16h-15	epidermis	cyp26a1, tagln2, myh9a, sdprb, wu:fj16a03, cyp2aa6, spaca4l, nkx2.7, nkx2.3, cldni, pfn1, nkx3.3
162	18 hpf	23	16h-6	neural crest	twist1b, ednrab, dlx2a, grem2b, mef2ca, cthrc1a, pmp22a, fam212aa, sox10
163	18 hpf	24	16h-19	hinbrain rhombomere 6	mafba, cryba1l1, cryba4, cryba2a, lim2.1, crybb1, cyp26c1.1, hoxb3a, crygn2, bfsp2, hoxa3a
164	18 hpf	25	16h-34	hinbrain rhombomere 5	egr2b, cryba2b, mafba, crygn2, hoxa3a, hoxb3a, mpz, ptn, lim2.1, hoxa2b
165	18 hpf	26	16h-5	dorsal diencephalon	lhx5, olig2, wnt7b, arxa, fezf2, fezf1, gsx2, pax6a, foxd1
166	18 hpf	27	16h-22	mesoderm	fxyd1, cthrc1a, angptl7, colec12, tgfbi, fibina, reck, prrx1a, foxc1b, thbs3b
167	18 hpf	28	NA	cycling progenitors	nusap1, kpna2, pax3a, mki67, top2a, cdk1, tpx2, plk1, pax7a
168	18 hpf	29	16h-30	lens differentiation	hmx4, prox1a, hmx1, foxe3, vcana, sox1a, rbm24a, pitx3
169	18 hpf	30	16h-36	pectoral fin field	cd151, cracr2b, ttn.2, hand2, gdf3, tdgf1, gata5, rbpms2b, pcolcea, nkx2.5, aldh1a2
170	18 hpf	31	16h-40	placode (lens)	pitx2, arl3l1, pitx3, krt96, cldni, tp63, six1b, fermt1, col1a2, fam69c, vgll4l
171	18 hpf	32	16h-17	ventral midbrain 	phox2bb, nkx2.2b, nkx2.9, sulf2b, nkx2.2a, nkx6.2, nkx6.1, foxa, hoxa3a, hoxd4a
172	18 hpf	33	16h-50	pharyngeal erythrocyte lineage	hbae3, cebpa, cldnc, hbbe1.1, hbbe1.2, fgfrl1b, sgk2a, foxa2, barx1, foxa3, hoxb1b, pltp
173	18 hpf	34	16h-47	neurons	elavl4, tmsb, mllt11, sncb, gng3, myt1b, ywhag2, gap43, cplx2l, sept5a, tubb2, stmn2b, draxin, nhlh2
174	18 hpf	35	16h-21	pharyngeal endoderm	pax1b, pax1a, pltp, s100t, capgb, fgfrl1b, myl10, fgf20b, nkx2.7, nkx2.3, foxj1a, fermt1, isl1, foxa2
175	18 hpf	36	16h-29	neural crest (ectomesenchyme)/NA	foxc1a, alx4a, fam212aa, alx1, twist1a, hic1, ednrab, twist3, tuba8l3, snai1a, sdhda, foxc1b, gbx2, fli1a, tnc
176	18 hpf	37	16h-49	floor plate	shha, col9a2, lgals2a, col9a1b, col9a3, spon1b, shhb, loxl5b, foxa1, foxj1a, daw1
